model,fold,valid_cutoff,n_train,n_valid,base_rate,accuracy,majority_accuracy,precision,recall,f1,roc_auc,pr_auc,precision_at_20,recall_at_20,lift_at_20,brier
recency_baseline,1,2011-06-01,5104,2436,0.2848932676518883,0.7188013136288999,0.7151067323481117,0.6216216216216216,0.03314121037463977,0.06292749658002736,0.6762842570565484,0.42628837659467667,0.45790554414784396,0.32132564841498557,1.6072880483345071,0.25740507878855345
logistic_regression,1,2011-06-01,5104,2436,0.2848932676518883,0.7635467980295566,0.7151067323481117,0.6134615384615385,0.4596541786743516,0.5255354200988468,0.7450072294259141,0.6047601923401419,0.6262833675564682,0.43948126801152737,2.1983087656593034,0.1677243577506921
random_forest,1,2011-06-01,5104,2436,0.2848932676518883,0.7738095238095238,0.7151067323481117,0.6606741573033708,0.42363112391930835,0.5162423178226514,0.7572798830057206,0.6155294075438752,0.6468172484599589,0.4538904899135447,2.2703844628940346,0.16314574666767004
xgboost,1,2011-06-01,5104,2436,0.2848932676518883,0.7729885057471264,0.7151067323481117,0.6453608247422681,0.4510086455331412,0.5309584393553859,0.7553649950204642,0.6134051698581741,0.6468172484599589,0.4538904899135447,2.2703844628940346,0.16393153369426727
recency_baseline,2,2011-07-01,7540,2716,0.25846833578792344,0.740058910162003,0.7415316642120766,0.47297297297297297,0.04985754985754986,0.09020618556701031,0.6791331760298989,0.38946761062472846,0.43278084714548803,0.33475783475783477,1.6744056707224293,0.23728673415831128
logistic_regression,2,2011-07-01,7540,2716,0.25846833578792344,0.7812960235640648,0.7415316642120766,0.6088709677419355,0.4301994301994302,0.5041736227045075,0.7528412225532384,0.5858306681224935,0.5874769797421732,0.4544159544159544,2.2729166338742766,0.15781932615714686
random_forest,2,2011-07-01,7540,2716,0.25846833578792344,0.7801914580265096,0.7415316642120766,0.6119402985074627,0.40883190883190884,0.4901793339026473,0.7555119858992749,0.5941923491427594,0.5948434622467772,0.4601139601139601,2.3014171559291263,0.15524811671817493
xgboost,2,2011-07-01,7540,2716,0.25846833578792344,0.7779823269513991,0.7415316642120766,0.6020618556701031,0.41595441595441596,0.4919966301600674,0.7577056756550302,0.5952765927135534,0.572744014732965,0.443019943019943,2.2159155897645766,0.15522226691246033
recency_baseline,3,2011-08-01,10256,2963,0.2413094836314546,0.7580155248059399,0.7586905163685453,0.4666666666666667,0.019580419580419582,0.03758389261744966,0.7237852450041062,0.4226800023412385,0.47217537942664417,0.3916083916083916,1.9567211877498556,0.2172184769387388
logistic_regression,3,2011-08-01,10256,2963,0.2413094836314546,0.8012149848126898,0.7586905163685453,0.64,0.4027972027972028,0.4944206008583691,0.777232909439315,0.5940446428325467,0.581787521079258,0.4825174825174825,2.410960034906072,0.1445288152383525
random_forest,3,2011-08-01,10256,2963,0.2413094836314546,0.8005399932500844,0.7586905163685453,0.6415525114155252,0.393006993006993,0.48742411101474414,0.7831533235447827,0.6002293357373051,0.5902192242833052,0.48951048951048953,2.4459014846873193,0.14241529356095195
xgboost,3,2011-08-01,10256,2963,0.2413094836314546,0.7985150185622679,0.7586905163685453,0.6365740740740741,0.38461538461538464,0.47951176983435045,0.7771268322424905,0.5917881626962,0.5834738617200674,0.48391608391608393,2.4179483248623215,0.14381158351898193
recency_baseline,4,2011-09-01,13219,3154,0.29454660748256184,0.7064045656309448,0.7054533925174382,0.5294117647058824,0.02906350914962325,0.05510204081632653,0.6905400273339704,0.451863345433488,0.5134706814580031,0.348762109795479,1.7432578356496682,0.27059932753779936
logistic_regression,4,2011-09-01,13219,3154,0.29454660748256184,0.7650602409638554,0.7054533925174382,0.7136363636363636,0.3379978471474704,0.4587289992695398,0.7398865519284962,0.6022720354343064,0.6212361331220285,0.4219590958019376,2.109126764119352,0.17072743047878847
random_forest,4,2011-09-01,13219,3154,0.29454660748256184,0.7675967025998732,0.7054533925174382,0.7344497607655502,0.3304628632938644,0.45582776540460285,0.7470253141592386,0.6165374521348606,0.6370839936608558,0.4327233584499462,2.16293101830607,0.16779285982149814
xgboost,4,2011-09-01,13219,3154,0.29454660748256184,0.7647431832593532,0.7054533925174382,0.6993603411513859,0.35306781485468247,0.46924177396280403,0.7457732731824724,0.6128396921670933,0.6339144215530903,0.43057050592034446,2.1521701674687264,0.16892209649085999
